LINSSIDDATALOGVER 2.8	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w
Time	SSID	MAC	Channel	Mode	Protocol	Security	Privacy	Cipher	Frequency	Quality	Signal	BW	Min_Sig	Max_Sig	Cen_Chan	First_Seen	Last_Seen	Vendor
2018/09/14.20:49:59	"TU"	D4:68:4D:3E:8C:88	11	AP	bgn	PSK	CCMP	CCMP	2462	80	-60	20	-60	-60	11	2018/09/14.20:49:59	2018/09/14.20:49:59	"Ruckus Wireless"
2018/09/14.20:49:59	"TU"	D4:68:4D:3E:82:98	1	AP	bgn	PSK	CCMP	CCMP	2412	100	-41	20	-41	-41	1	2018/09/14.20:49:59	2018/09/14.20:49:59	"Ruckus Wireless"
2018/09/14.20:49:59	"TU"	D4:68:4D:3E:81:88	1	AP	bgn	PSK	CCMP	CCMP	2412	70	-65	20	-65	-65	1	2018/09/14.20:49:59	2018/09/14.20:49:59	"Ruckus Wireless"
2018/09/14.20:49:59	"TU"	D4:68:4D:3E:8A:68	1	AP	bgn	PSK	CCMP	CCMP	2412	64	-68	20	-68	-68	1	2018/09/14.20:49:59	2018/09/14.20:49:59	"Ruckus Wireless"
2018/09/14.20:49:59	"TU"	D4:68:4D:3E:81:98	1	AP	bgn	PSK	CCMP	CCMP	2412	40	-80	20	-80	-80	1	2018/09/14.20:49:59	2018/09/14.20:49:59	"Ruckus Wireless"
2018/09/14.20:49:59	"TU"	D4:68:4D:3E:19:78	1	AP	bgn	PSK	CCMP	CCMP	2412	50	-75	20	-75	-75	1	2018/09/14.20:49:59	2018/09/14.20:49:59	"Ruckus Wireless"
2018/09/14.20:49:59	"TU"	D4:68:4D:3E:58:E8	1	AP	bgn	PSK	CCMP	CCMP	2412	38	-81	20	-81	-81	1	2018/09/14.20:49:59	2018/09/14.20:49:59	"Ruckus Wireless"
2018/09/14.20:49:59	"TU"	D4:68:4D:3E:59:38	1	AP	bgn	PSK	CCMP	CCMP	2412	34	-83	20	-83	-83	1	2018/09/14.20:49:59	2018/09/14.20:49:59	"Ruckus Wireless"
2018/09/14.20:49:59	"TU"	D4:68:4D:3E:A7:B8	1	AP	bgn	PSK	CCMP	CCMP	2412	34	-83	20	-83	-83	1	2018/09/14.20:49:59	2018/09/14.20:49:59	"Ruckus Wireless"
2018/09/14.20:49:59	"TU"	D4:68:4D:3E:8E:38	1	AP	bgn	PSK	CCMP	CCMP	2412	16	-92	20	-92	-92	1	2018/09/14.20:49:59	2018/09/14.20:49:59	"Ruckus Wireless"
2018/09/14.20:49:59	"TU"	D4:68:4D:3E:A3:C8	4	AP	bgn	PSK	CCMP	CCMP	2427	48	-76	20	-76	-76	4	2018/09/14.20:49:59	2018/09/14.20:49:59	"Ruckus Wireless"
