date:2018/09/09---LINSSIDDATALOGVER hi 2.8
Time	SSID	MAC	Channel	Mode	Protocol	Security	Privacy	Cipher	Frequency	Quality	Signal	BW	Min_Sig	Max_Sig	Cen_Chan	First_Seen	Last_Seen	Vendor
2018/09/09.15:56:28	"sj"	DA:32:E3:B9:FF:04	6	AP	bgnac	PSK	CCMP	CCMP	2437	64	-68	40	-68	-60	6	2018/09/09.15:54:38	2018/09/09.15:56:28	"<unrecognized>"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:81:88	1	AP	bgn	PSK	CCMP	CCMP	2412	92	-54	20	-54	-49	1	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:54:98	1	AP	bgn	PSK	CCMP	CCMP	2412	58	-71	20	-72	-66	1	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:59:38	1	AP	bgn	PSK	CCMP	CCMP	2412	76	-62	20	-63	-61	1	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:19:78	4	AP	bgn	PSK	CCMP	CCMP	2427	66	-67	20	-70	-65	4	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:87:F8	4	AP	bgn	PSK	CCMP	CCMP	2427	54	-73	20	-73	-52	4	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:82:98	9	AP	bgn	PSK	CCMP	CCMP	2452	100	-26	20	-27	-26	9	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:A3:08	7	AP	bgn	PSK	CCMP	CCMP	2442	70	-65	20	-65	-59	7	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"COMMITTEE ROOM"	D4:68:4D:3E:A4:28	10	AP	bgn	PSK	TKIP	CCMP TKIP	2457	88	-56	20	-58	-54	10	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:8C:88	11	AP	bgn	PSK	CCMP	CCMP	2462	100	-42	20	-46	-42	11	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:91:D8	11	AP	bgn	PSK	CCMP	CCMP	2462	92	-54	20	-54	-49	11	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:A3:C8	11	AP	bgn	PSK	CCMP	CCMP	2462	60	-70	20	-71	-66	11	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"DD Office"	00:1E:4A:90:00:20	11	AP	bg	PSK	TKIP	TKIP	2462	40	-80	20	-87	-80	11	2018/09/09.15:54:38	2018/09/09.15:56:28	"Cisco Systems, Inc"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:8A:6C	36	AP	bgnac	PSK	CCMP	CCMP	5180	52	-74	80	-74	-70	38	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:A6:8C	36	AP	bgnac	PSK	CCMP	CCMP	5180	54	-73	80	-74	-72	38	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:77:3C	40	AP		PSK	CCMP	CCMP	5200	26	-110	80	-89	-87	38	2018/09/09.15:54:38	2018/09/09.15:55:48	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:8B:4C	40	AP		PSK	CCMP	CCMP	5200	24	-110	80	-88	-86	38	2018/09/09.15:54:38	2018/09/09.15:55:48	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:91:DC	44	AP	bgnac	PSK	CCMP	CCMP	5220	74	-63	80	-67	-61	46	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:59:3C	48	AP	bgnac	PSK	CCMP	CCMP	5240	56	-72	80	-73	-70	46	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:82:9C	48	AP	bgnac	PSK	CCMP	CCMP	5240	100	-41	80	-42	-41	46	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:A3:0C	48	AP	bgnac	PSK	CCMP	CCMP	5240	46	-77	80	-77	-75	46	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"COMMITTEE ROOM"	D4:68:4D:3E:A4:2C	149	AP	bgnac	PSK	TKIP	CCMP TKIP	5745	50	-75	40	-76	-73	151	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:19:7C	153	AP	bgnac	PSK	CCMP	CCMP	5765	30	-85	80	-86	-83	151	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:54:DC	157	AP	bgnac	PSK	CCMP	CCMP	5785	32	-84	80	-85	-79	159	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:87:FC	157	AP	bgnac	PSK	CCMP	CCMP	5785	78	-61	80	-65	-59	159	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:54:9C	157	AP	bgnac	PSK	CCMP	CCMP	5785	36	-82	80	-86	-82	159	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:81:9C	157	AP	bgnac	PSK	CCMP	CCMP	5785	38	-81	80	-83	-81	159	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:81:8C	161	AP	bgnac	PSK	CCMP	CCMP	5805	64	-68	80	-72	-67	159	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:8C:8C	161	AP	bgnac	PSK	CCMP	CCMP	5805	62	-69	80	-71	-69	159	2018/09/09.15:54:38	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:8E:88	1	AP		PSK	CCMP	CCMP	2412	22	-110	20	-89	-85	1	2018/09/09.15:54:43	2018/09/09.15:55:48	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:8B:48	1	AP	bgn	PSK	CCMP	CCMP	2412	26	-87	20	-89	-86	1	2018/09/09.15:54:43	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:87:28	1	AP	bgn	PSK	CCMP	CCMP	2412	30	-85	20	-86	-81	1	2018/09/09.15:54:43	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	6C:AA:B3:32:31:C8	1	AP		PSK	CCMP	CCMP	2412	44	-110	20	-82	-76	1	2018/09/09.15:54:43	2018/09/09.15:55:48	"Ruckus Wireless"
2018/09/09.15:56:28	"EACCESS"	6C:AA:B3:72:31:C8	1	AP	bgn	PSK	CCMP	CCMP	2412	40	-80	20	-81	-77	1	2018/09/09.15:54:43	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:81:A8	4	AP	bgn	PSK	CCMP	CCMP	2427	44	-78	20	-81	-74	4	2018/09/09.15:54:43	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"AndroidAP"	AC:C3:3A:7A:83:E8	6	AP	bgn	PSK	CCMP	CCMP	2437	66	-67	20	-72	-65	6	2018/09/09.15:54:43	2018/09/09.15:56:28	"Samsung Electronics Co.,Ltd"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:81:C8	4	AP		PSK	CCMP	CCMP	2427	28	-110	20	-86	-84	4	2018/09/09.15:54:43	2018/09/09.15:55:48	"Ruckus Wireless"
2018/09/09.15:56:28	"<hidden>"	2C:E6:CC:1A:CB:D8	4	AP	bgn	PSK	TKIP	CCMP TKIP	2427	68	-66	20	-66	-64	4	2018/09/09.15:54:43	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:54:D8	6	AP	bgn	PSK	CCMP	CCMP	2437	40	-80	20	-80	-76	6	2018/09/09.15:54:43	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:A6:88	7	AP	bgn	PSK	CCMP	CCMP	2442	64	-68	20	-71	-66	7	2018/09/09.15:54:43	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:8A:68	7	AP	bgn	PSK	CCMP	CCMP	2442	68	-66	20	-69	-66	7	2018/09/09.15:54:43	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:54:18	9	AP		PSK	CCMP	CCMP	2452	22	-110	20	-89	-87	9	2018/09/09.15:54:43	2018/09/09.15:55:48	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:58:E8	9	AP		PSK	CCMP	CCMP	2452	34	-110	20	-87	-83	9	2018/09/09.15:54:43	2018/09/09.15:55:48	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	6C:AA:B3:32:24:68	11	AP		PSK	CCMP	CCMP	2462	22	-110	20	-89	-86	11	2018/09/09.15:54:43	2018/09/09.15:55:48	"Ruckus Wireless"
2018/09/09.15:56:28	"EACCESS"	6C:AA:B3:72:24:68	11	AP		PSK	CCMP	CCMP	2462	26	-110	20	-89	-86	11	2018/09/09.15:54:43	2018/09/09.15:55:48	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:8E:38	4	AP		PSK	CCMP	CCMP	2427	30	-110	20	-85	-85	4	2018/09/09.15:54:49	2018/09/09.15:55:16	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:89:58	4	AP	bgn	PSK	CCMP	CCMP	2427	50	-75	20	-80	-75	4	2018/09/09.15:54:49	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:81:98	4	AP	bgn	PSK	CCMP	CCMP	2427	56	-72	20	-74	-71	4	2018/09/09.15:54:49	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:77:38	7	AP		PSK	CCMP	CCMP	2442	50	-110	20	-78	-74	7	2018/09/09.15:54:49	2018/09/09.15:55:48	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:A7:B8	11	AP	bgn	PSK	CCMP	CCMP	2462	48	-76	20	-79	-75	11	2018/09/09.15:54:49	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"Directorate"	58:93:96:08:4A:18	2	AP	bgn	PSK	TKIP	CCMP TKIP	2417	28	-86	20	-87	-80	2	2018/09/09.15:54:54	2018/09/09.15:56:28	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:54:88	11	AP		PSK	CCMP	CCMP	2462	24	-110	20	-89	-88	11	2018/09/09.15:54:59	2018/09/09.15:55:48	"Ruckus Wireless"
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:54:8C	153	AP		PSK	CCMP	CCMP	5765	26	-110	80	-87	-86	151	2018/09/09.15:54:59	2018/09/09.15:55:48	"Ruckus Wireless"
2018/09/09.15:56:28	"HP-Print-9E-LaserJet Pro MFP"	44:1C:A8:0F:72:9E	6	AP		PSK	TKIP	TKIP CCMP	2437	22	-110	20	-89	-89	6	2018/09/09.15:55:10	2018/09/09.15:55:32	"Hon Hai Precision Ind. Co.,Ltd."
2018/09/09.15:56:28	"TU"	D4:68:4D:3E:A6:38	4	AP		PSK	CCMP	CCMP	2427	20	-110	20	-90	-90	4	2018/09/09.15:55:43	2018/09/09.15:55:48	"Ruckus Wireless"
