date:-2018/09/14  LINSSIDDATALOGVER 2.8
Time	SSID	MAC	Channel	Mode	Protocol	Security	Privacy	Cipher	Frequency	Quality	Signal	BW	Min_Sig	Max_Sig	Cen_Chan	First_Seen	Last_Seen	Vendor
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:87:FC	48	AP	bgnac	PSK	CCMP	CCMP	5240	98	-51	80	-51	-51	46	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:82:98	1	AP	bgn	PSK	CCMP	CCMP	2412	100	-31	20	-31	-31	1	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:81:88	1	AP	bgn	PSK	CCMP	CCMP	2412	92	-54	20	-54	-54	1	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:59:38	1	AP	bgn	PSK	CCMP	CCMP	2412	78	-61	20	-61	-61	1	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:19:78	1	AP	bgn	PSK	CCMP	CCMP	2412	76	-62	20	-62	-62	1	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:8A:68	1	AP	bgn	PSK	CCMP	CCMP	2412	68	-66	20	-66	-66	1	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:81:98	1	AP	bgn	PSK	CCMP	CCMP	2412	34	-83	20	-83	-83	1	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:A7:B8	1	AP	bgn	PSK	CCMP	CCMP	2412	48	-76	20	-76	-76	1	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:A3:C8	4	AP	bgn	PSK	CCMP	CCMP	2427	58	-71	20	-71	-71	4	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:A6:88	4	AP	bgn	PSK	CCMP	CCMP	2427	56	-72	20	-72	-72	4	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:57:78	4	AP	bgn	PSK	CCMP	CCMP	2427	24	-88	20	-88	-88	4	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:A3:08	6	AP	bgn	PSK	CCMP	CCMP	2437	90	-55	20	-55	-55	6	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:87:F8	6	AP	bgn	PSK	CCMP	CCMP	2437	88	-56	20	-56	-56	6	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:91:D8	6	AP	bgn	PSK	CCMP	CCMP	2437	84	-58	20	-58	-58	6	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
2018/09/14.20:56:03	"HP-Print-9E-LaserJet Pro MFP"	44:1C:A8:0F:72:9E	6	AP	bgn	PSK	TKIP	TKIP CCMP	2437	34	-83	20	-83	-83	6	2018/09/14.20:56:03	2018/09/14.20:56:03	"Hon Hai Precision Ind. Co.,Ltd."
2018/09/14.20:56:03	"TU"	D4:68:4D:3E:54:98	6	AP	bgn	PSK	CCMP	CCMP	2437	60	-70	20	-70	-70	6	2018/09/14.20:56:03	2018/09/14.20:56:03	"Ruckus Wireless"
