MAC	Signal
DA:32:E3:B9:FF:04	-68
D4:68:4D:3E:81:88	-54
D4:68:4D:3E:54:98	-71
D4:68:4D:3E:59:38	-62
D4:68:4D:3E:19:78	-67
D4:68:4D:3E:87:F8	-73
D4:68:4D:3E:82:98	-26
D4:68:4D:3E:A3:08	-65
D4:68:4D:3E:A4:28	-56
D4:68:4D:3E:8C:88	-42
D4:68:4D:3E:91:D8	-54
D4:68:4D:3E:A3:C8	-70
00:1E:4A:90:00:20	-80
D4:68:4D:3E:8A:6C	-74
D4:68:4D:3E:A6:8C	-73
D4:68:4D:3E:77:3C	-110
D4:68:4D:3E:8B:4C	-110
D4:68:4D:3E:91:DC	-63
D4:68:4D:3E:59:3C	-72
D4:68:4D:3E:82:9C	-41
D4:68:4D:3E:A3:0C	-77
D4:68:4D:3E:A4:2C	-75
D4:68:4D:3E:19:7C	-85
D4:68:4D:3E:54:DC	-84
D4:68:4D:3E:87:FC	-61
D4:68:4D:3E:54:9C	-82
D4:68:4D:3E:81:9C	-81
D4:68:4D:3E:81:8C	-68
D4:68:4D:3E:8C:8C	-69
D4:68:4D:3E:8E:88	-110
D4:68:4D:3E:8B:48	-87
D4:68:4D:3E:87:28	-85
6C:AA:B3:32:31:C8	-110
6C:AA:B3:72:31:C8	-80
D4:68:4D:3E:81:A8	-78
AC:C3:3A:7A:83:E8	-67
D4:68:4D:3E:81:C8	-110
2C:E6:CC:1A:CB:D8	-66
D4:68:4D:3E:54:D8	-80
D4:68:4D:3E:A6:88	-68
D4:68:4D:3E:8A:68	-66
D4:68:4D:3E:54:18	-110
D4:68:4D:3E:58:E8	-110
6C:AA:B3:32:24:68	-110
6C:AA:B3:72:24:68	-110
D4:68:4D:3E:8E:38	-110
D4:68:4D:3E:89:58	-75
D4:68:4D:3E:81:98	-72
D4:68:4D:3E:77:38	-110
D4:68:4D:3E:A7:B8	-76
58:93:96:08:4A:18	-86
D4:68:4D:3E:54:88	-110
D4:68:4D:3E:54:8C	-110
44:1C:A8:0F:72:9E	-110
D4:68:4D:3E:A6:38	-110
42:49:0F:9A:96:50	-89
D4:68:4D:3E:57:78	-87
DA:32:E3:B9:FF:04	-65
D4:68:4D:3E:81:88	-52
D4:68:4D:3E:54:98	-66
D4:68:4D:3E:59:38	-62
D4:68:4D:3E:19:78	-70
D4:68:4D:3E:87:F8	-57
D4:68:4D:3E:82:98	-26
D4:68:4D:3E:A3:08	-60
D4:68:4D:3E:A4:28	-55
D4:68:4D:3E:8C:88	-47
D4:68:4D:3E:91:D8	-52
D4:68:4D:3E:A3:C8	-69
00:1E:4A:90:00:20	-80
D4:68:4D:3E:8A:6C	-69
D4:68:4D:3E:A6:8C	-74
D4:68:4D:3E:77:3C	-110
D4:68:4D:3E:8B:4C	-110
D4:68:4D:3E:91:DC	-61
D4:68:4D:3E:59:3C	-73
D4:68:4D:3E:82:9C	-41
D4:68:4D:3E:A3:0C	-76
D4:68:4D:3E:A4:2C	-75
D4:68:4D:3E:19:7C	-86
D4:68:4D:3E:54:DC	-84
D4:68:4D:3E:87:FC	-63
D4:68:4D:3E:54:9C	-82
D4:68:4D:3E:81:9C	-81
D4:68:4D:3E:81:8C	-68
D4:68:4D:3E:8C:8C	-69
D4:68:4D:3E:8E:88	-110
D4:68:4D:3E:8B:48	-87
D4:68:4D:3E:87:28	-85
6C:AA:B3:32:31:C8	-110
6C:AA:B3:72:31:C8	-77
D4:68:4D:3E:81:A8	-80
AC:C3:3A:7A:83:E8	-67
D4:68:4D:3E:81:C8	-110
2C:E6:CC:1A:CB:D8	-66
D4:68:4D:3E:54:D8	-80
D4:68:4D:3E:A6:88	-68
D4:68:4D:3E:8A:68	-66
D4:68:4D:3E:54:18	-110
D4:68:4D:3E:58:E8	-84
6C:AA:B3:32:24:68	-110
6C:AA:B3:72:24:68	-110
D4:68:4D:3E:8E:38	-110
D4:68:4D:3E:89:58	-78
D4:68:4D:3E:81:98	-72
D4:68:4D:3E:77:38	-110
D4:68:4D:3E:A7:B8	-79
58:93:96:08:4A:18	-86
D4:68:4D:3E:54:88	-110
D4:68:4D:3E:54:8C	-110
44:1C:A8:0F:72:9E	-110
D4:68:4D:3E:A6:38	-110
42:49:0F:9A:96:50	-89
D4:68:4D:3E:57:78	-87
DA:32:E3:B9:FF:04	-64
D4:68:4D:3E:81:88	-53
D4:68:4D:3E:54:98	-66
D4:68:4D:3E:59:38	-62
D4:68:4D:3E:19:78	-70
D4:68:4D:3E:87:F8	-54
D4:68:4D:3E:82:98	-27
D4:68:4D:3E:A3:08	-59
D4:68:4D:3E:A4:28	-55
D4:68:4D:3E:8C:88	-43
D4:68:4D:3E:91:D8	-79
D4:68:4D:3E:A3:C8	-69
00:1E:4A:90:00:20	-80
D4:68:4D:3E:8A:6C	-71
D4:68:4D:3E:A6:8C	-74
D4:68:4D:3E:77:3C	-110
D4:68:4D:3E:8B:4C	-88
D4:68:4D:3E:91:DC	-61
D4:68:4D:3E:59:3C	-71
D4:68:4D:3E:82:9C	-41
D4:68:4D:3E:A3:0C	-75
D4:68:4D:3E:A4:2C	-75
D4:68:4D:3E:19:7C	-86
D4:68:4D:3E:54:DC	-81
D4:68:4D:3E:87:FC	-60
D4:68:4D:3E:54:9C	-83
D4:68:4D:3E:81:9C	-81
D4:68:4D:3E:81:8C	-68
D4:68:4D:3E:8C:8C	-70
D4:68:4D:3E:8E:88	-86
D4:68:4D:3E:8B:48	-90
D4:68:4D:3E:87:28	-85
6C:AA:B3:32:31:C8	-110
6C:AA:B3:72:31:C8	-77
D4:68:4D:3E:81:A8	-80
AC:C3:3A:7A:83:E8	-64
D4:68:4D:3E:81:C8	-85
2C:E6:CC:1A:CB:D8	-66
D4:68:4D:3E:54:D8	-76
D4:68:4D:3E:A6:88	-68
D4:68:4D:3E:8A:68	-69
D4:68:4D:3E:54:18	-87
D4:68:4D:3E:58:E8	-84
6C:AA:B3:32:24:68	-110
6C:AA:B3:72:24:68	-110
D4:68:4D:3E:8E:38	-110
D4:68:4D:3E:89:58	-78
D4:68:4D:3E:81:98	-70
D4:68:4D:3E:77:38	-74
D4:68:4D:3E:A7:B8	-76
58:93:96:08:4A:18	-86
D4:68:4D:3E:54:88	-110
